INDEX,TARGET_FLAG,KIDSDRIV,IDADE,HOMEKIDS,YOJ,SALARIO,CONTA_CLI,HOME_VAL,CASADO,SEX,EDUCATION,JOB,TRAVTIME,USO_PROD,VALOR_SOLICITADO,TIF,TIPO_PROD,PROD_ALTO_VALOR,OLDCLAIM,CLM_FREQ,TRAN_SUSP,TEMPO_CLIENTE,TEMPO_VIDA_PROD,URBANICITY
2646, ,0,41,0,7,37771.18485,No,169247.3678,Yes,F,Ensino Superior,Do Lar,44.36686886,Pessoal,9380,4,CDB,no,0,0,No,0,11,Rural
2651, ,0,56,0,13,112246.1461,No,0,No,M,PhD,Advogado,10.03838999,Pessoal,17180,7,Poupanca,no,0,0,No,2,10,Urbano
2660, ,0,38,0,7,94513.21847,No,256581.5241,Yes,F,Ensino Superior,Gerente,19.99647126,Pessoal,19120,10,CDB,no,0,0,No,0,14,Urbano
2661, ,0,56,0,12,146309.1881,No,426818.0327,Yes,F,Mestrado,Advogado,10.52072699,Pessoal,34460,6,Criptomoeda,no,0,0,No,3,15,Urbano
2668, ,0,41,0,0,0,No,0,No,F,Ensino Medio,Do Lar,40.08327391,Pessoal,12860,4,CDB,no,0,0,No,0,1,Rural
2670, ,0,54,0,12,40818.01707,No,0,No,F,Mestrado,Advogado,34.29824109,Pessoal,10980,1,CDB,no,5050,2,No,0,15,Urbano
2680, ,0,31,1,8,30347.83721,Yes,128842.8126,No,M,Ensino Superior,Trabalho Administrativo,46.89705976,Pessoal,4600,10,Tesouro Direto,no,2118,1,No,4,9,Urbano
2681, ,0,61,0,14,203920.0899,No,488198.6948,Yes,M,Ensino Medio,Trabalho Manual,41.66628464,Comercial,27990,1,Tesouro Direto,no,0,0,No,0,9,Rural
2689, ,0,52,0,14,7355.771577,No,0,Yes,M,Ensino Medio,Estudante,20.11686674,Pessoal,3030,1,Tesouro Direto,no,6796,2,No,0,7,Urbano
2694, ,0,39,0,10,111619.1179,No, ,No,M,Mestrado,Advogado,24.10097433,Pessoal,28390,4,Tesouro Direto,yes,0,0,No,0,16,Urbano
2695, ,0,63,0,15,42208.88494,No,0,No,M,Ensino Medio,Trabalho Manual,21.97235857,Comercial,16250,1,CDB,no,6379,3,No,8,9,Urbano
2696, ,0,53,0,12,72536.68147,No,0,No,M,Ensino Superior,Trabalho Manual,23.08808897,Comercial,18880,1,Poupanca,yes,0,0,No,3,1,Urbano
2702, ,0,41,0,0,0,No,0,Yes,F,Ensino Medio,Do Lar,48.81315154,Pessoal,5700,7,CDB,no,50807,3,No,0,7,Rural
2704, ,0,39,2,12,36142.7823,Yes,0,No,M,Ensino Medio,Trabalho Administrativo,44.11645204,Pessoal,5400,1,Criptomoeda,yes,0,0,No,0,10,Rural
2708, ,3,45,3,14,54391.31081,No,219805.8535,Yes,M,Ensino Superior,Trabalho Administrativo,22.12356145,Comercial,22720,1,Renda Variavel,yes,0,0,No,0,9,Rural
2709, ,0,54,0,11,141317.8473,No,411675.2067,Yes,F,Mestrado,Advogado,38.43114793,Pessoal,15630,15,CDB,no,0,0,No,0,1,Urbano
2714, ,0,35,0,12,58310.32969,No,0,No,M,Ensino Medio,Trabalho Manual,33.12914432,Pessoal,8470,1,Criptomoeda,no,0,0,No,2,1,Urbano
2716, ,0,53,0,9,30012.28149,No,0,No,F,Mestrado,Gerente,17.23932954,Pessoal,15990,17,Tesouro Direto,no,0,0,Yes,0,15,Urbano
2723, ,0,47,0, ,25620.05586,No,141115.2481,Yes,M,Ensino Medio,Trabalho Administrativo,64.19246578,Comercial,8760,1,Criptomoeda,yes,0,0,No,0,10,Rural
2725, ,0,40,0,14,25645.23336,No,120237.0065,Yes,F,Ensino Medio,Trabalho Administrativo,50.09379717,Pessoal,15490,1,CDB,no,5375,2,No,0,1,Urbano
2738, ,0,54,0, ,0,No,0,No,F,Ensino Medio,Estudante,29.16739828,Pessoal,17160,1,CDB,no,0,0,No,0,1,Rural
2750, ,1,43,2,13,82355.70103,No,244353.5427,Yes,M,Ensino Fundamental,Trabalho Manual,33.36850486,Comercial,21600,1,Poupanca,yes,0,0,No,0,3,Urbano
2756, ,0,44,2,15,14040.586,No,122698.4617,Yes,F,Ensino Medio,Trabalho Administrativo,30.42551224,Pessoal,11100,4,Criptomoeda,yes,1297,2,No,0,1,Urbano
2758, ,0,30,2,12,103184.9762,No,299281.0006,Yes,F,Mestrado, ,9.100208792,Pessoal,11140,7,CDB,no,0,0,No,0,15,Urbano
2766, ,0,50,0,0,0,No,88189.08994,Yes,F,Ensino Superior,Do Lar,44.10680629,Pessoal,1500,11,Renda Fixa,no,26452,2,No,0,1,Urbano
2767, ,0,37,2,12,35738.42229,No,138609.8848,Yes,F,Ensino Medio,Trabalho Administrativo,46.36166558,Pessoal,12900,1,CDB,no,0,0,No,1,1,Urbano
2771, ,0,52,0,11,63806.57351,No,199353.1744,No,M,Mestrado,Advogado,49.56753742,Pessoal,2250,9,Tesouro Direto,yes,9155,4,No,0, ,Urbano
2775, ,2,60,2,9,8287.164428,No,160004.5545,Yes,F,Ensino Superior,Do Lar,63.48733357,Pessoal,10800,1,Tesouro Direto,no,937,4,No,0,8,Urbano
2776, ,0,44,0,10,61597.36068,No,207094.8157,Yes,M,Ensino Superior,Gerente,25.47121473,Comercial,19310,6,Poupanca,yes,2576,1,No,0,4,Urbano
2779, ,2,42,2,8,57378.64815,Yes,0,No,F,Ensino Medio,Trabalho Manual,37.03324981,Comercial,20040,1,Renda Fixa,no,0,0,Yes,2,1,Urbano
2780, ,1,38,2,12,35653.32722,No,135667.5227,Yes,M,Ensino Fundamental,Trabalho Manual,33.66926381,Pessoal,8870,1,Criptomoeda,yes,0,0,No,0,1,Urbano
2781, ,0,38,1,7,46137.85491,Yes,196542.5686,No,F,Ensino Superior,Profissional,30.14600871,Pessoal,14870,10,Renda Fixa,no,14954,3,No,2, ,Urbano
2782, ,0,34,1,9,37363.85278,Yes,173675.1772,No,F,Mestrado,Advogado,49.21741021,Pessoal,8640,8,CDB,no,43725,3,Yes,1,1,Urbano
2783, ,0,54,0,0,0,No,81349.83844,Yes,F,Ensino Medio,Do Lar,32.76468173,Pessoal,13570,7,Tesouro Direto,no,0,0,No,0,8,Urbano
2796, ,0,47,0,13, ,No,0,Yes,M,Ensino Medio,Estudante,17.52323003,Comercial,6880,6,Tesouro Direto,yes,0,0,No,0,1,Urbano
2798, ,0,50,0, ,70135.47922,No,0,No,M,Mestrado,Gerente,5,Comercial,8510,1,Criptomoeda,yes,0,0,No,3,13,Urbano
2800, ,0,45,1,13,65939.50137,No,231593.4619,Yes,M,Ensino Superior,Profissional,42.57199244,Pessoal,14510,6,Tesouro Direto,no,0,0,No,0,10,Urbano
2803, ,0,47,0,9,108776.1192,No,278542.3003,Yes,F,Ensino Superior,Gerente,46.94491644,Pessoal,9150,1,CDB,no,0,0,No,1,2,Urbano
2806, ,0,45,0,10,60244.67984,No,191308.9189,Yes,F,Ensino Superior,Do Lar,47.63623687,Pessoal,26500,13,Tesouro Direto,no,0,0,No,0,9,Rural
2813, ,0,44,0,10,34358.07364,No,0,No,F,Ensino Medio,Trabalho Manual,35.70554062,Comercial,13930,6,Renda Fixa,no,0,0,No,1,8,Rural
2818, ,0,60,0,14,105172.7626,No,310048.806,Yes,F,PhD,Medico,33.64639879,Pessoal,22300,4,Renda Fixa,no,4634,2,No,0,13,Urbano
2821, ,2,45,3,7, ,No,181751.6074,Yes,F,Ensino Superior,Estudante,38.00790652,Pessoal,10810,13,Renda Fixa,no,0,0,Yes,1, ,Urbano
2825, ,0,58,0,10,90671.74931,No,0,No,M,Mestrado,Gerente,42.92238511,Pessoal,7300,1,Criptomoeda,yes,9090,2,No,0,12,Urbano
2829, ,0,59,2,14,15209.81048,No,147599.2137,Yes,F,Ensino Medio,Estudante,50.42266053,Pessoal,11650,1,CDB,no,0,0,No,0,1,Rural
2830, ,0,53,0,0,0,No,0,Yes,F,Ensino Medio,Estudante,31.17830398,Comercial,12530,6,Tesouro Direto,no,2796,2,No,7,4,Urbano
2833, ,0,41,0,11,71537.22347,No,182238.714,No,F,Ensino Superior,Profissional,21.84247529,Pessoal,25530,13,Poupanca,no,0,0,No,0,7,Urbano
2839, ,2,58,3,18,9750.199009,No,0,Yes,M,Ensino Fundamental,Estudante,50.36462691,Pessoal,2480,1,Tesouro Direto,yes,3741,2,Yes,3,1,Urbano
2843, ,0,49,0,13,106914.6701,No,306616.1109,Yes,M,Ensino Medio,Gerente,23.58536013,Comercial,34580,13,Renda Variavel,yes,0,0,No,0,12,Urbano
2846, ,0,56,0,8,59674.71699,No,240945.4305,Yes,M,Ensino Superior,Profissional,38.66750598,Pessoal,28790,1,Tesouro Direto,no,0,0,No,0,15,Urbano
2847, ,0,53,0,0,0,No,64888.22516,Yes,F,Mestrado,Advogado,24.09589155,Pessoal,33290,6,Tesouro Direto,no,0,0,No,3,16,Urbano
2848, ,0,30,1,15,59388.20775,No,183997.4331,Yes,F,Ensino Superior,Trabalho Manual,55.67115974,Comercial,21820,4,Renda Fixa,no,0,0,Yes,1,7,Rural
2856, ,0,26,3,0,0,Yes,0,No,M,Ensino Medio,Estudante,41.09318898,Comercial,4100,1,Tesouro Direto,no,0,0,No,3,1,Urbano
2863, ,0,34,5,15,16167.07715,Yes,0,No,F,Ensino Fundamental,Trabalho Administrativo,65.97769269,Pessoal,6520,1,Renda Fixa,no,0,0,Yes,1,1,Rural
2867, ,2,38,2,12,59394.86934,No,209594.6104,Yes,F,Mestrado,Advogado,64.04745656,Pessoal,11240,1,CDB,no,0,0,No,0,10,Urbano
2869, ,0,32,0,7,85401.82287,No,0,No,F,Ensino Superior,Gerente,32.23187185,Pessoal,11180,7,CDB,no,5924,1,No,1,11,Urbano
2873, ,0,50,0,11,38462.08881,No,189718.4528,Yes,F,Ensino Medio,Trabalho Administrativo,37.12237235,Pessoal,25900,10,Tesouro Direto,no,0,0,No,0,8,Rural
2874, ,0,45,3,17,61094.49765,No,175634.107,Yes,F,Ensino Superior,Trabalho Manual,44.76961198,Comercial,6000,6,CDB,no,5528,1,No,0,10,Urbano
2875, ,0,35,0,11,2540.401153,No,107045.0307,Yes,F,Ensino Medio,Do Lar,34.92943557,Pessoal,5220,6,Renda Fixa,no,7714,2,No,5,1,Urbano
2880, ,0,33,3,9, ,No,185795.6897,Yes,M,Ensino Medio,Trabalho Manual,45.45645387,Comercial,9120,10,Criptomoeda,yes,0,0,Yes,1,7,Urbano
2886, ,1,43,2,11,76158.64499,Yes, ,No,F,Ensino Superior,Profissional,52.42306084,Pessoal,20270,3,Criptomoeda,no,3255,2,No,1, ,Urbano
2887, ,0,34,4,12,24897.00702,No,166510.2259,Yes,M,Ensino Medio,Trabalho Administrativo,26.0063086,Comercial,7390,17,Criptomoeda,yes,23866,2,No,2,7,Urbano
2888, ,2,40,2,13,65759.19699,No,236448.7033,Yes,F,Ensino Medio,Profissional,53.02508341,Pessoal,12080,6,Tesouro Direto,no,0,0,No,0,1,Urbano
2889, ,0,33,2,0,0,No,0,Yes,F,Ensino Medio,Do Lar,31.83156045,Pessoal,5430,6,CDB,no,0,0,Yes,3,9,Urbano
2890, ,0,33,1,4,25036.99655,Yes,0,No,F,Ensino Medio,Trabalho Administrativo,30.53447166,Pessoal,14280,1,CDB,no,0,0,No,0,8,Urbano
2892, ,0,36,0,11,39786.49684,No,0,No,M,Ensino Medio,Gerente,5,Pessoal,15960,4,Tesouro Direto,no,19115,2,Yes,3,1,Urbano
2901, ,0,34,1,11,62707.55597,No,233153.7415,Yes,F,Ensino Superior,Profissional,47.68608251,Pessoal,18000,16,Criptomoeda,no,51345,3,Yes,1,1,Urbano
2902, ,0,48,0,8,102860.5959,No,0,No,M,Mestrado,Advogado,42.74617931,Pessoal,19220,1,Tesouro Direto,yes,0,0,No,2,17,Urbano
2905, ,0,45,0,8,53419.71704,No,190092.4371,Yes,M,Ensino Superior,Profissional,64.76878198,Comercial,24910,1,Renda Variavel,yes,0,0,No,2,9,Urbano
2917, ,0,45,2,15,31497.01823,No,197502.0028,Yes,F,Ensino Fundamental,Trabalho Manual,5,Pessoal,17120,6,Renda Fixa,no,6680,1,No,8,3,Urbano
2922, ,0,33,1,10,83663.57748,No,217762.7384,Yes,M,Ensino Superior,Trabalho Manual,53.57557517,Comercial,21100,4,Poupanca,yes,5495,3,No,7,8,Urbano
2924, ,1,38,2,14,22318.76914,No, ,Yes,F,Ensino Fundamental,Trabalho Manual,46.88757235,Pessoal,7530,3,Renda Fixa,no,0,0,No,0,4,Rural
2930, ,0,59,0,13,210115.4874,No,512934.2537,No,M,PhD,Gerente,29.51065163,Comercial,28560,4,Renda Variavel,yes,785,2,No,2,14,Urbano
2931, ,0,50,0,13,79941.24536,No,215831.3197,Yes,M,Mestrado, ,12.48372936,Comercial,30350,8,Renda Variavel,yes,0,0,No,1,8,Urbano
2946, ,1,41,1,5,34304.46438,Yes,97504.23118,No,M,Ensino Medio,Trabalho Administrativo,56.65000569,Pessoal,9030,6,Criptomoeda,yes,0,0,No,0,1,Rural
2955, ,0,46,0,12,33635.30533,No,191957.4015,Yes,F,Ensino Medio,Trabalho Manual,54.66450202,Comercial,26790,7,Tesouro Direto,no,3960,2,No,3,8,Urbano
2962, ,0,49,0,8,29843.95678,No,179612.608,Yes,F,Ensino Medio,Trabalho Administrativo,47.48334519,Pessoal,19080,4,Tesouro Direto,no,0,0,No,0,8,Rural
2964, ,0,34,2,15,133936.9482,Yes,343256.5121,No,M,Ensino Superior,Profissional,26.09101675,Pessoal,18290,1,Poupanca,no,0,0,No,0,8,Rural
2965, ,0,29,4,0,0,No,0,Yes,F,Ensino Superior,Estudante,38.01417497,Comercial,20570,4,Criptomoeda,no,0,0,No,2,9,Urbano
2967, ,0,43,0,7,58111.63746,No,0,No,M,Ensino Superior,Trabalho Administrativo,33.8699636,Pessoal,15050,3,Tesouro Direto,yes,0,0,No,2,11,Rural
2970, ,3,42,3,15,96752.04264,No,274946.5925,Yes,M,Mestrado,Gerente,21.99283516,Pessoal,13860,10,Tesouro Direto,yes,0,0,No,0,13,Urbano
2973, ,0,35,2,15,34385.46514,No, ,Yes,M,Ensino Medio,Estudante,33.51695699,Comercial,5000,19,Criptomoeda,no,7788,3,No,4,9,Urbano
2974, ,0,36,0,12,101076.6235,No, ,Yes,M,Mestrado, ,41.51743571,Comercial,22850,4,Renda Variavel,yes,0,0,No,3,16,Urbano
2976, ,0,57,4,19,39952.98317,No,166747.1484,Yes,F,Ensino Medio,Trabalho Manual,42.77873837,Comercial,22780,1,Criptomoeda,no,7119,1,No,8,1,Urbano
2977, ,0,53,0,14,33302.50321,No,161352.1865,Yes,F,Ensino Medio,Gerente,47.62170619,Pessoal,29770,6,CDB,no,0,0,Yes,2,1,Urbano
2978, ,0,38,0,11,181453.1692,No,460598.4842,Yes,F,Mestrado,Advogado,62.73813108,Pessoal,23450,4,Tesouro Direto,no,19336,2,Yes,3,14,Urbano
2986, ,0,47,0,9,40764.35863,No,158061.2632,Yes,F,PhD,Gerente,15.83325837,Pessoal,11400,1,Renda Fixa,no,0,0,No,1,14,Urbano
2988, ,0,28,3,11, ,No,216473.2886,Yes,F,Mestrado, ,59.147671,Pessoal,12180,10,CDB,no,7820,3,No,3,8,Urbano
2989, ,0,64,0,10,96238.0613,No,290723.9741,Yes,M,Mestrado,Advogado,40.0206015,Pessoal,13130,1,CDB,yes,0,0,No,2,1,Urbano
2995, ,0,17,0,6,40015.15529,No,152243.4996,No,M,Ensino Medio,Trabalho Manual,50.05680284,Comercial,23400,7,Renda Variavel,yes,2047,2,No,7,1,Urbano
3005, ,0,46,0, ,57135.66492,No,192619.06,Yes,M,Ensino Medio,Profissional,54.99080343,Comercial,11810,8,Criptomoeda,yes,8446,1,No,7,8,Urbano
3011, ,0,50,0,13,61082.04792,No,177093.5545,Yes,F,Ensino Superior,Gerente,48.4136402,Pessoal,13520,1,CDB,no,0,0,No,0,7,Urbano
3013, ,0,46,0,14,52411.1457,No,158113.3992,Yes,M,Ensino Superior,Gerente,13.63485753,Pessoal,11340,6,Tesouro Direto,yes,0,0,No,2,8,Urbano
3019, ,0,35,0,12,67702.12445,No,181551.718,Yes,M,Ensino Superior,Trabalho Manual,10.74639702,Comercial,11770,1,Criptomoeda,no,48743,3,Yes,6,9,Urbano
3021, ,0,48,0,0,0,No,0,Yes,M,Ensino Medio,Estudante,23.03957496,Comercial,33540,4,Tesouro Direto,yes,0,0,No,0,1,Rural
3022, ,0,58,0,10,153830.6973,No,0,No,F,Mestrado, ,34.7152718,Comercial,37320,6,Criptomoeda,no,0,0,Yes,0,13,Urbano
3029, ,2,39,2,0, ,No,99102.92734,Yes,F,Ensino Medio,Do Lar,46.23530823,Pessoal,5400,1,Renda Fixa,no,0,0,No,1,1,Rural
3037, ,0,36,0,8,82108.65556,No,267268.1888,No,F,PhD,Medico,18.42633054,Pessoal,13310,1,CDB,no,3087,2,No,0,14,Urbano
3042, ,0,55,0,12,291181.9674,No,669271.3215,Yes,M,PhD, ,15.82706145,Comercial,7000,8,Criptomoeda,yes,22215,2,Yes,0,12,Urbano
3043, ,0,40,0,11,126482.9154,No,388549.3453,Yes,M,PhD, ,35.76881276,Comercial,30610,6,Renda Variavel,yes,1853,1,No,2,14,Urbano
3049, ,0,46,0,13,175117.2144,No, ,No,M,Mestrado,Gerente,28.02464401,Comercial,28290,7,Renda Variavel,yes,0,0,No,2,16,Urbano
3050, ,0,41,2,14,53940.14069,No,182684.4765,Yes,F,Ensino Medio,Trabalho Manual,32.23826431,Comercial,24510,1,Criptomoeda,no,24295,1,Yes,3,1,Urbano
3053, ,0,40,0,9,49181.64176,No,186066.0605,Yes,M,Ensino Superior,Trabalho Manual,27.66494137,Comercial,10420,4,Criptomoeda,no,0,0,No,0,13,Urbano
3058, ,1,41,3,13,104088.0667,No,296329.1754,Yes,F,Ensino Superior,Profissional,22.69016657,Comercial,31920,6,Poupanca,no,6274,2,No,0,3,Urbano
3062, ,0,37,0,11,24932.80668,No,112655.7758,Yes,M,Ensino Medio,Trabalho Administrativo,29.01629365,Pessoal,14380,1,Tesouro Direto,no,5095,2,No,0,1,Urbano
3063, ,0,60,1,13,144201.7904,Yes,0,No,M,Ensino Superior,Profissional,50.17425579,Pessoal,21970,6,Poupanca,yes,40682,1,No,6, ,Urbano
3065, ,0,39,3,17,2946.911963,No,0,Yes,F,Ensino Fundamental,Estudante,23.84103823,Pessoal,5690,7,CDB,no,0,0,No,2,1,Rural
3080, ,0,47,0,13,116008.4607,No,318396.8928,Yes,F,Mestrado,Gerente,36.07126173,Pessoal,6200,6,CDB,no,0,0,No,1,15,Urbano
3088, ,0,37,0,7,113153.0972,No,281454.1283,Yes,M,Ensino Superior,Profissional,45.31457052,Comercial,38340,10,Renda Variavel,yes,3841,1,No,6,9,Urbano
3093, ,1,43,2,11,96010.92714,Yes,320017.3561,No,F,Ensino Superior,Profissional,39.47290983,Pessoal,22070,3,CDB,no,44668,1,Yes,0,4,Urbano
3096, ,0,52,0,7,73574.36997,No,224049.283,Yes,M,Ensino Medio,Profissional,12.97301211,Comercial,27520,1,Renda Variavel,yes,0,0,Yes,0,1,Urbano
3101, ,0,49,0,14,34627.88605,No,159544.4552,Yes,M,Ensino Medio,Profissional,43.01321826,Pessoal,20310,3,Poupanca,yes,7467,2,No,3,1,Urbano
3103, ,3,43,3,15,69245.24496,No,245315.7906,Yes,M,Mestrado,Gerente,15.68340602,Pessoal,3520,1,Tesouro Direto,no,8167,2,No,5, ,Urbano
3107, ,0,54,0,10,139157.1037,No,0,No,F,PhD,Profissional,23.18635506,Pessoal,6900,1,CDB,no,0,0,No,4, ,Urbano
3109, ,0,41,0,14,139975.4721,No, ,Yes,M,Ensino Superior,Gerente,25.72225383,Comercial,32570,13,Renda Variavel,yes,0,0,No,0,6,Urbano
3111, ,0,47,0,15,40494.86414,No,196730.1801,Yes,M,Ensino Fundamental,Trabalho Manual,5,Pessoal,10250,10,Criptomoeda,yes,0,0,No,0,4,Urbano
3113, ,2,36,3,0,0,Yes,0,No,M,Ensino Fundamental,Estudante,47.09321449,Pessoal,5100,9,Criptomoeda,no,7205,2,No,1,8,Urbano
3116, ,0,33,1, ,111717.8704,No,304907.6674,Yes,F,Ensino Superior,Trabalho Manual,44.21804892,Pessoal,19890,6,Tesouro Direto,no,0,0,No,0,8,Rural
3132, ,0,31,1,10,56782.4497,No,192336.5247,Yes,M,Ensino Superior,Profissional,28.51930748,Pessoal,10280,14,Criptomoeda,yes,2548,2,No,2,1,Urbano
3141, ,0,49,0,12,106161.1098,No,282960.8749,Yes,F,Ensino Superior,Trabalho Manual,30.90112389,Comercial,18020,1,CDB,no,0,0,No,0,16,Urbano
3153, ,1,40,2,16,16641.28248,No,0,Yes,M,Ensino Superior,Estudante,32.04126824,Comercial,22930,6,Renda Variavel,yes,0,0,No,0,10,Urbano
3154, ,0,65,0,10,85893.57026,No,302832.0726,Yes,M,Mestrado,Gerente,36.74176693,Pessoal,23990,3,Tesouro Direto,yes,0,0,No,2,19,Urbano
3160, ,0,38,0,12,27369.61507,No,111641.8216,Yes,M,Ensino Medio,Trabalho Administrativo,13.62730259,Pessoal,22880,4,Tesouro Direto,yes,0,0,Yes,0,9,Urbano
3167, ,0,54,0,13,63339.33998,No,0,No,M,Ensino Medio,Trabalho Manual,32.75577781,Comercial,8450,10,Criptomoeda,no,0,0,No,0, ,Rural
3170, ,0,49,0,14,26301.32358,No,0,Yes,F,Ensino Superior,Estudante,32.31041321,Comercial,19780,4,CDB,no,1645,1,No,3,12,Urbano
3173, ,0,49,0,13,46506.60119,No,153165.9187,Yes,F,Ensino Medio,Profissional,32.04531244,Pessoal,5590,6,CDB,no,14074,3,Yes,0,7,Urbano
3174, ,0,48,0,9,43635.83651,No,0,No,F,Ensino Superior,Estudante,33.68852052,Pessoal,8910,20,CDB,no,957,3,No,5,14,Urbano
3177, ,0,51,0,15,128221.1469,No,303037.1826,No,M,Mestrado,Advogado,71.35989888,Pessoal,19610,3,Poupanca,yes,0,0,No,0,8,Urbano
3179, ,0,41,0,13,40465.84775,No,0,No,F,Ensino Medio,Trabalho Administrativo,21.1475478,Pessoal,5600,10,Tesouro Direto,no,0,0,No,1,1,Urbano
3184, ,0,31,1,13,42491.9052,No,163297.2129,Yes,M,Ensino Medio,Trabalho Administrativo,14.17288676,Pessoal,8850,1,Criptomoeda,yes,1109,3,No,5,8,Urbano
3190, ,0,47,0,10,59963.28026,No,195090.5959,Yes,M,PhD, ,17.97678123,Comercial,24400,6,Renda Variavel,yes,23116,3,Yes,0,9,Urbano
3193, ,0,49,0,15, ,No,274564.0018,Yes,F,Mestrado,Advogado,40.02119215,Pessoal,14590,4,Tesouro Direto,no,0,0,No,0, ,Urbano
3199, ,0,55,0,12,39832.85812,No,156508.0901,Yes,F,Ensino Medio,Trabalho Manual,32.25775473,Pessoal,5480,12,Renda Fixa,no,8806,1,No,3,1,Urbano
3201, ,0,45,0,11,177364.7764,No, ,Yes,F,Mestrado,Advogado,20.03077911,Pessoal,49940,7,Renda Fixa,no,0,0,No,3,14,Urbano
3202, ,0,44,0,7,18189.36526,No,128577.6794,Yes,M,Ensino Medio,Trabalho Administrativo,12.34644535,Comercial,17350,10,Poupanca,no,0,0,No,0,8,Urbano
3203, ,0,51,0,14,15732.40053,No,104143.4996,Yes,F,Ensino Superior,Do Lar,45.14998941,Pessoal,1500,1,CDB,no,5379,3,No,7,12,Urbano
3206, ,0,28,1,8,4842.535237,Yes,0,No,M,Ensino Fundamental,Estudante,20.97783896,Pessoal,1980,9,Tesouro Direto,yes,3018,3,No,5,1,Urbano
3209, ,0,43,0,13,35292.71459,No,0,No,F,Ensino Fundamental,Trabalho Administrativo,27.991742,Pessoal,9330,6,CDB,no,0,0,No,0,1,Rural
3210, ,1,37,2,13,31212.49941,No,155824.2464,Yes,M,Ensino Medio,Trabalho Administrativo,35.72564445,Pessoal,10100,1,Criptomoeda,yes,11626,2,No,0,1,Urbano
3217, ,0,37,2,8,82970.92139,No,240550.3359,Yes,F,Mestrado, ,39.66297423,Comercial,23710,1,Criptomoeda,no,0,0,No,2,13,Urbano
3220, ,2,42,2,12,72709.80713,Yes,0,No,F,Mestrado,Do Lar,66.87032822,Pessoal,18710,10,Renda Fixa,no,0,0,No,1,12,Rural
3228, ,0,33,3,12,74546.10069,No,245204.9015,Yes,M,Ensino Superior,Trabalho Manual,22.39652515,Comercial,12250,1,Tesouro Direto,no,3961,3,No,5,9,Urbano
3232, ,0,55,0,16,97889.55226,No,325875.9056,Yes,M,Mestrado,Advogado,10.02901533,Pessoal,25040,4,Tesouro Direto,yes,0,0,No,0,18,Urbano
3239, ,1,44,1,16,173411.6049,No,431274.2116,Yes,M,PhD,Profissional,16.02430647,Comercial,41710,6,Renda Variavel,no,0,0,No,0,14,Urbano
3243, ,0,45,3,11,207122.9359,Yes,488300.6681,No,F,PhD, ,42.38266576,Comercial,34320,1,Criptomoeda,no,583,4,No,3,5,Urbano
3245, ,0,46,0,5,75983.49428,No,252802.4148,Yes,M,Mestrado, ,17.42486508,Comercial,22100,4,Poupanca,yes,0,0,No,0,14,Urbano
3246, ,0,35,2,14,29249.70533,No,159238.8798,Yes,F,Ensino Medio,Trabalho Manual,44.77874109,Comercial,23380,1,Criptomoeda,no,0,0,No,1,7,Urbano
3251, ,0,49,1,12,98174.73719,No,321272.4229,Yes,F,Mestrado,Advogado,27.30472763,Pessoal,16220,3,Tesouro Direto,no,0,0,No,0,15,Urbano
3253, ,0,38,0,9,2725.899142,No,0,Yes,M,Ensino Fundamental,Estudante,51.24708779,Pessoal,1770,1,Tesouro Direto,no,0,0,No,0,1,Urbano
3257, ,1,37,1,9,65402.35574,No,202380.6543,Yes,F,Ensino Medio,Trabalho Manual,61.68978264,Pessoal,11740,1,Renda Fixa,no,0,0,No,0,7,Rural
3260, ,0,51,0,14,45771.22193,No,200101.4057,Yes,M,Ensino Medio,Profissional,60.50640377,Pessoal,13760,6,Tesouro Direto,yes,0,0,No,0,1,Rural
3261, ,0,49,0,13,43560.3911,No,174689.9056,Yes,M,Ensino Superior,Trabalho Administrativo,35.27772757,Comercial,10760,4,Criptomoeda,yes,0,0,No,0,7,Urbano
3263, ,0,48,0,0,0,No,105541.6795,Yes,F,Ensino Medio,Do Lar,23.75170229,Pessoal,19250,13,Renda Fixa,no,5245,2,No,2,1,Urbano
3278, ,0,50,0,11,167365.3016,No,404405.2776,No,M,PhD, ,47.53605344,Comercial,35640,4,Renda Variavel,yes,0,0,No,1, ,Urbano
3281, ,0,57,0,0, ,No,0,Yes,M,Ensino Fundamental,Estudante,7.107187837,Pessoal,21550,3,Tesouro Direto,no,42944,1,Yes,0,1,Urbano
3283, ,0,48,0,0,0,No,0,Yes,M,Ensino Superior,Estudante,44.56548813,Comercial,6300,1,Criptomoeda,no,0,0,No,0,7,Rural
3290, ,0,62,0,13,2861.165912,No,118797.4477,Yes,F,Ensino Medio,Do Lar,39.15388108,Pessoal,23740,11,Renda Fixa,no,0,0,No,2,11,Rural
3297, ,0,30,2,12,56252.60274,No,142626.712,Yes,M,Ensino Superior,Profissional,8.831648543,Comercial,6600,10,Criptomoeda,yes,2986,1,No,5,13,Urbano
3304, ,0,53,0,13,114746.2677,No,336124.3463,Yes,F,Mestrado,Advogado,12.83270102,Pessoal,12970,6,CDB,no,0,0,No,1,15,Urbano
3305, ,0,37,0,11,22631.98033,No,142768.8174,No,F,Ensino Fundamental,Trabalho Manual,56.0744362,Pessoal,19970,13,Criptomoeda,no,0,0,Yes,1,7,Urbano
3307, ,0,45,0,12, ,No,322926.3603,Yes,F,PhD,Gerente,5,Pessoal,11160,1,Renda Fixa,no,0,0,No,0,16,Urbano
